 /features        TATA         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)    TATA-TSS    TATA-INR     INR-TSS     REdens1     REdens2
   8.16926   3.24146   9.13295   2.18262   0.67492   3.40100   0.17103   0.43345   0.01579   0.02202   0.02295   0.03551   0.06674   0.24830  11.90907   8.38148         1
   7.49221   0.60725   3.63855   4.65077   0.52329   0.79536   0.16314   0.04533   0.01140   0.21141   0.31256   0.28007   0.03981   0.04000  10.37296   6.02913         1
   5.95950   0.72085  -3.50718   3.66028   0.55036   0.84887   0.17716   0.05209   0.01038   0.21141   0.31256   0.28007   0.03981   0.04000  10.78475   6.30003         1
   8.16926   4.47241   7.99844   3.65520   0.59441   0.80317   0.23314   0.05413   0.02255   0.06960   0.31256   0.23745   0.05515   0.08823   5.92730   5.61307         1
   5.59350   0.22248  -3.32462   3.60644   0.58414   1.17059   0.22578   0.07026   0.01826   0.17898   0.23419   0.08665   0.03981   0.04000  12.29315   8.21904         1
   6.93783   4.70228   8.30769   3.15185   0.63747   0.88760   0.19635   0.09558   0.01256   0.21141   0.31256   0.28007   0.04638   0.12783  10.44873   6.95051         1
   8.06375  -3.21343  -5.41841   3.04751   0.46480   0.77952   0.16507   0.05668   0.01035   0.22443   0.31256   0.23745   0.03981   0.04000  11.57021   6.69406         1
   5.26884  -2.67807   4.04705   2.05194   0.53621   0.93017   0.13872   0.08738   0.00897   0.22443   0.32429   0.02083   0.03981   0.04000  10.39853   7.17878         1
   7.05274   2.01270   3.66876   2.24327   0.63621   1.04235   0.14794   0.11145   0.00910   0.16217   0.23419   0.17448   0.03981   0.04000  14.13142   7.86952         1
   7.00798   1.61834   6.09832   3.60644   0.55460   1.06292   0.18500   0.06515   0.01218   0.16217   0.32429   0.28007   0.03981   0.04000   6.76604   6.20436         1
   8.58545   0.05028   8.52192  -6.33519   0.61027   1.29515   0.22506   0.22067   0.02050   0.17898   0.23419   0.06084   0.03981   0.04000  12.36656   7.26048         1
   6.86029   6.66151   1.11433   3.66028   0.85264   0.91654   0.23172   0.09947   0.01792   0.16217   0.32429   0.23745   0.07608   0.11256  10.48970   6.55151         1
   6.35187   4.48888  -4.54187   0.84985   0.60857   0.75072   0.21008   0.05976   0.01287   0.21141   0.32429   0.06084   0.08258   0.24830   7.98224   5.29742         1
   6.61353   5.08116   2.84721   3.82135   0.67988   0.94197   0.28935   0.04784   0.01967   0.17898   0.10249   0.28007   0.04412   0.12783   6.94672   3.02842         1
   3.96375   0.53592   7.88735   4.48970   0.58907   1.01845   0.11923   0.07712   0.00657   0.21141   0.23419   0.02249   0.03981   0.04000   7.25763   4.81459         1
   3.39418   0.94192  -2.62847   2.40434   0.60565   0.76733   0.29452   0.05651   0.02563   0.22443   0.23419   0.28007   0.03981   0.04000  10.57376   6.65333         1
   6.90247   4.54249  -4.63440   2.45311   0.64476   0.92139   0.24427   0.06103   0.01576   0.17898   0.23419   0.23745   0.04129   0.12726   5.03221   4.39877         1
   7.31866   2.90967   7.43738   3.65520   0.61727   1.19492   0.21395   0.08114   0.01467   0.17898   0.23419   0.28007   0.06702   0.24830  13.50059   5.11224         1
   7.49221   4.15956   5.03253   3.82135   0.69723   2.21179   0.19636   0.11295   0.01338   0.02202   0.02295   0.23745   0.04638   0.11256   8.40327   6.83921         1
   4.61850   4.35207   9.15326   4.65077   0.78934   1.28784   0.25591   0.12797   0.01991   0.02202   0.02295   0.04072   0.07608   0.08823   5.37154   2.44187         1
   6.90247   6.57110   5.12371   3.38979   0.64507   0.76307   0.26550   0.06208   0.02644   0.21141   0.23419   0.23745   0.05486   0.24830   8.33199   4.63320         1
   7.42417   2.62675   9.56870   2.61595   0.65686   1.85285   0.29501   0.22930   0.03070   0.12382   0.31256   0.17448   0.03981   0.04000   8.71371   6.13853         1
   3.94537  -8.29429  -2.40321   2.07828   0.70062   0.70374   0.21100   0.04789   0.01538   0.21141   0.32429   0.08665   0.03981   0.04000   4.00947   0.92943         1
   7.46894   5.08116   2.83934   3.17818   0.65837   1.64541   0.19276   0.11958   0.01224   0.06960   0.23419   0.28007   0.06702   0.24830  10.25574   7.51859         1
